Dataset,Avg_Latency_ms,FPS,Model_Size_MB
MNIST_DVS,5.21,191.97,1.10
N_MNIST,4.97,201.01,1.10
TCASL,4.92,203.24,1.11
ASL_DVS,5.54,180.63,1.11
