Dataset,Avg_Latency_ms,FPS,Model_Size_MB
MNIST_DVS,0.59,1688.64,0.24
N_MNIST,0.75,1338.44,0.24
TCASL,0.66,1518.22,0.24
ASL_DVS,0.69,1447.84,0.24
