Dataset,Avg_Latency_ms,FPS,Model_Size_MB
MNIST_DVS,1.36,735.89,0.81
N_MNIST,1.47,678.07,0.81
TCASL,1.35,740.70,0.83
ASL_DVS,1.59,630.17,0.82
